feature,importance_mean,importance_std
DER_mass_MMC,0.09660689743858746,0.0033436097721168084
DER_mass_transverse_met_lep,0.03571955205916143,0.0029013236185544476
DER_mass_vis,0.03296812780544725,0.0017494533054091973
PRI_tau_pt,0.023983519713753107,0.00149726861205024
DER_deltar_tau_lep,0.010552929037758174,0.0008846221000284132
DER_met_phi_centrality,0.010292726854173262,0.0008540047078858895
PRI_jet_leading_eta,0.0061415219006974026,0.0008090872227301547
DER_lep_eta_centrality,0.005527734568507969,0.0007929287983778514
PRI_lep_eta,0.004361686645733359,0.0008072501673324019
PRI_tau_eta,0.003285734525000361,0.0010464913155399705
DER_pt_tot,0.0027633853964875027,0.0004007960122652986
PRI_met_sumet,0.00199572097431637,0.0005426281294832959
DER_deltaeta_jet_jet,0.0016224472683984692,0.00040457828093495705
DER_pt_h,0.001618213540165031,0.0007959606625515598
DER_sum_pt,0.0015220597204885083,0.00038196877437069913
PRI_jet_num,0.0015170859503279982,0.0004355780172813455
DER_mass_jet_jet,0.0014020180358197964,0.00034330558137766814
PRI_jet_leading_pt,0.001257830331998555,0.0004788918001372647
PRI_met,0.0010636295621346686,0.0004547351882417663
PRI_jet_subleading_eta,0.000523192432104011,0.00021893637524721175
DER_pt_ratio_lep_tau,0.00047025361890823403,0.0002886938663863022
PRI_lep_pt,0.0004156626190846696,0.000250471771271525
PRI_jet_all_pt,0.00034000623975806443,0.00031477771015046596
DER_prodeta_jet_jet,0.00017964087520720706,9.216268563399392e-05
PRI_jet_subleading_pt,0.00013995397558771994,0.00025797080371333454
PRI_jet_subleading_phi,9.118004951594316e-05,7.52253408187851e-05
PRI_met_phi,-2.4524645254944688e-05,9.930254133113852e-05
PRI_tau_phi,-3.385261559048225e-05,0.00011597780926060742
PRI_jet_leading_phi,-3.5453171386062854e-05,7.810632919996351e-05
PRI_lep_phi,-0.0001663201205215764,0.00010841956784493554
